/Users/volodimir/PycharmProjects/ML-1-Task/.venv/bin/python /Users/volodimir/PycharmProjects/ML-1-Task/monte_carlo_control_on_policy.py
Sarsa with different hyperparameters
Hyperparameters: [experiment, alpha, gamma, epsilon, decay rate, episodes, use_random_values, action_space_steps, obs_space_steps]
Episode 455/500 done, steps: 5490
Episode 456/500 done, steps: 2417
Episode 457/500 done, steps: 1344
Episode 458/500 done, steps: 1428
Episode 459/500 done, steps: 600
Episode 460/500 done, steps: 9587
Episode 461/500 done, steps: 2496
Episode 462/500 done, steps: 3295
Episode 463/500 done, steps: 1566
Episode 464/500 done, steps: 3197
Episode 465/500 done, steps: 2450
Episode 466/500 done, steps: 5577
Episode 467/500 done, steps: 1614
Episode 468/500 done, steps: 1587
Episode 469/500 done, steps: 5044
Episode 470/500 done, steps: 2339
Episode 471/500 done, steps: 1040
Episode 472/500 done, steps: 2436
Episode 473/500 done, steps: 6092
Episode 474/500 done, steps: 1123
Episode 475/500 done, steps: 367
Episode 476/500 done, steps: 1034
Episode 477/500 done, steps: 1148
Episode 478/500 done, steps: 6598
Episode 479/500 done, steps: 1114
Episode 480/500 done, steps: 1510
Episode 481/500 done, steps: 1345
Episode 482/500 done, steps: 1940
Episode 483/500 done, steps: 5379
Episode 484/500 done, steps: 8307
Episode 485/500 done, steps: 688
Episode 486/500 done, steps: 6531
Episode 487/500 done, steps: 1243
Episode 488/500 done, steps: 594
Episode 489/500 done, steps: 2597
Episode 490/500 done, steps: 10078
Episode 491/500 done, steps: 1714
Episode 492/500 done, steps: 917
Episode 493/500 done, steps: 697
Episode 494/500 done, steps: 6004
Episode 495/500 done, steps: 929
Episode 496/500 done, steps: 4918
Episode 497/500 done, steps: 4010
Episode 498/500 done, steps: 1778
Episode 499/500 done, steps: 2893
Hyperparameters [1, 0.1, 0.8, 0.8, 0.001, 500, False, 5, [20, 20]]
Average reward: -766.90
Max reward: 22.30
Average steps: 2508.18
Success rate: 0.21
---------------------0/15------------------------
Episode 0/500 done, steps: 1483
Episode 1/500 done, steps: 4676
Episode 2/500 done, steps: 406
Episode 3/500 done, steps: 3836
Episode 4/500 done, steps: 2080
Episode 5/500 done, steps: 970
Episode 6/500 done, steps: 303
Episode 7/500 done, steps: 554
Episode 8/500 done, steps: 1341
Episode 9/500 done, steps: 2633
Episode 10/500 done, steps: 1140
Episode 11/500 done, steps: 1002
Episode 12/500 done, steps: 876
Episode 13/500 done, steps: 546
Episode 14/500 done, steps: 2003
Episode 15/500 done, steps: 568
Episode 16/500 done, steps: 2030
Episode 17/500 done, steps: 1142
Episode 18/500 done, steps: 984
Episode 19/500 done, steps: 484
Episode 20/500 done, steps: 1692
Episode 21/500 done, steps: 1683
Episode 22/500 done, steps: 936
Episode 23/500 done, steps: 1290
Episode 24/500 done, steps: 1703
Episode 25/500 done, steps: 1402
Episode 26/500 done, steps: 484
Episode 27/500 done, steps: 1834
Episode 28/500 done, steps: 1229
Episode 29/500 done, steps: 1628
Episode 30/500 done, steps: 1003
Episode 31/500 done, steps: 2199
Episode 32/500 done, steps: 719
Episode 33/500 done, steps: 5403
Episode 34/500 done, steps: 1454
Episode 35/500 done, steps: 3003
Episode 36/500 done, steps: 2932
Episode 37/500 done, steps: 878
Episode 38/500 done, steps: 862
Episode 39/500 done, steps: 1769
Episode 40/500 done, steps: 877
Episode 41/500 done, steps: 490
Episode 42/500 done, steps: 1475
Episode 43/500 done, steps: 823
Episode 44/500 done, steps: 1154
Episode 45/500 done, steps: 562
Episode 46/500 done, steps: 2250
Episode 47/500 done, steps: 626
Episode 48/500 done, steps: 757
Episode 49/500 done, steps: 1199
Episode 50/500 done, steps: 1773
Episode 51/500 done, steps: 280
Episode 52/500 done, steps: 3978
Episode 53/500 done, steps: 1402
Episode 54/500 done, steps: 3077
Episode 55/500 done, steps: 1618
Episode 56/500 done, steps: 1198
Episode 57/500 done, steps: 2110
Episode 58/500 done, steps: 8016
Episode 59/500 done, steps: 6619
Episode 60/500 done, steps: 2210
Episode 61/500 done, steps: 1511
Episode 62/500 done, steps: 5341
Episode 63/500 done, steps: 2265
Episode 64/500 done, steps: 2068
Episode 65/500 done, steps: 1421
Episode 66/500 done, steps: 3356
Episode 67/500 done, steps: 1146
Episode 68/500 done, steps: 1425
Episode 69/500 done, steps: 396
Episode 70/500 done, steps: 1543
Episode 71/500 done, steps: 2199
Episode 72/500 done, steps: 1998
Episode 73/500 done, steps: 2837
Episode 74/500 done, steps: 211
Episode 75/500 done, steps: 433
Episode 76/500 done, steps: 1025
Episode 77/500 done, steps: 1264
Episode 78/500 done, steps: 854
Episode 79/500 done, steps: 1015
Episode 80/500 done, steps: 688
Episode 81/500 done, steps: 2682
Episode 82/500 done, steps: 855
Episode 83/500 done, steps: 945
Episode 84/500 done, steps: 608
Episode 85/500 done, steps: 1257
Episode 86/500 done, steps: 299
Episode 87/500 done, steps: 1031
Episode 88/500 done, steps: 633
Episode 89/500 done, steps: 2073
Episode 90/500 done, steps: 1410
Episode 91/500 done, steps: 1563
Episode 92/500 done, steps: 1209
Episode 93/500 done, steps: 1401
Episode 94/500 done, steps: 2100
Episode 95/500 done, steps: 2035
Episode 96/500 done, steps: 1126
Episode 97/500 done, steps: 1167
Episode 98/500 done, steps: 476
Episode 99/500 done, steps: 4087
Episode 100/500 done, steps: 2093
Episode 101/500 done, steps: 1281
Episode 102/500 done, steps: 376
Episode 103/500 done, steps: 306
Episode 104/500 done, steps: 2571
Episode 105/500 done, steps: 887
Episode 106/500 done, steps: 4314
Episode 107/500 done, steps: 3680
Episode 108/500 done, steps: 2048
